timestamp,mpu_ax,mpu_ay,mpu_az,mpu_gx,mpu_gy,mpu_gz,adxl_ax,adxl_ay,adxl_az,l3gd_gx,l3gd_gy,l3gd_gz,lsm_ax,lsm_ay,lsm_az,joy_lx,joy_ly,joy_lb,joy_rx,joy_ry,joy_rb
115658,-6.955,-6.335,2.212,-0.177,0.047,-0.012,1.961,2.040,2.118,-0.061,-0.002,0.014,-13896,-7411,4466,1191,1030,1,221,174,1
118693,-6.902,-6.452,2.186,-0.176,0.049,-0.017,1.961,2.040,2.118,-0.056,-0.005,0.013,-13980,-7324,4327,287,0,1,0,0,1
121728,-6.955,-6.414,2.114,-0.178,0.045,-0.015,1.961,2.040,2.118,-0.054,-0.007,0.009,-14005,-7367,4302,1381,1165,1,383,239,1
124763,-6.879,-6.412,2.181,-0.183,0.048,-0.013,1.961,2.040,2.118,-0.054,-0.005,0.013,-14003,-7314,4278,804,641,1,58,58,1
127798,-6.812,-6.373,2.217,-0.189,0.050,-0.016,1.961,2.040,2.118,-0.057,-0.005,0.011,-14065,-7206,4293,510,119,1,0,0,1
130833,-6.936,-6.390,2.121,-0.186,0.039,-0.013,1.961,2.040,2.118,-0.054,-0.005,0.014,-14034,-7269,4269,1422,1215,1,396,256,1
133868,-6.962,-6.373,2.191,-0.183,0.047,-0.014,1.961,2.040,2.118,-0.054,-0.001,0.015,-13989,-7355,4251,688,511,1,12,22,1
136903,-6.840,-6.421,2.138,-0.178,0.050,-0.017,1.961,2.040,2.118,-0.058,-0.004,0.013,-14025,-7288,4315,590,201,1,0,0,1
139938,-6.953,-6.469,2.162,-0.183,0.048,-0.014,1.961,2.040,2.118,-0.057,-0.003,0.013,-14024,-7331,4279,1514,1280,1,406,270,1
142973,-6.869,-6.433,2.198,-0.183,0.045,-0.016,1.961,2.040,2.118,-0.048,-0.005,0.015,-14021,-7305,4331,722,531,1,15,20,1
146008,-6.950,-6.359,2.152,-0.182,0.046,-0.015,1.961,2.040,2.118,-0.049,-0.006,0.014,-14039,-7267,4236,592,197,1,0,0,1
149043,-6.902,-6.464,2.191,-0.184,0.048,-0.011,1.961,2.040,2.118,-0.049,-0.006,0.014,-13994,-7333,4229,1472,1265,1,405,272,1
152078,-6.938,-6.440,2.160,-0.182,0.047,-0.016,1.961,2.040,2.118,-0.053,-0.006,0.013,-14009,-7299,4261,430,199,1,0,0,1
155113,-6.874,-6.436,2.193,-0.186,0.049,-0.013,1.961,2.040,2.118,-0.052,-0.005,0.013,-13985,-7336,4275,1223,793,1,189,75,1
