timestamp,mpu_ax,mpu_ay,mpu_az,mpu_gx,mpu_gy,mpu_gz,adxl_ax,adxl_ay,adxl_az,l3gd_gx,l3gd_gy,l3gd_gz,lsm_ax,lsm_ay,lsm_az,joy_lx,joy_ly,joy_lb,joy_rx,joy_ry,joy_rb
3362,-6.876,-6.493,2.308,-0.179,0.049,-0.015,1.961,2.040,2.118,-0.058,-0.004,0.014,-14079,-7344,3995,1181,976,1,311,373,1
6398,-6.785,-6.474,2.325,-0.183,0.045,-0.015,1.961,2.040,2.118,-0.058,-0.002,0.013,-14027,-7419,4054,272,0,1,0,0,1
9433,-6.831,-6.424,2.289,-0.185,0.049,-0.017,1.961,2.040,2.118,-0.059,-0.002,0.013,-14018,-7366,3999,1077,752,1,197,80,1
12468,-6.821,-6.529,2.413,-0.181,0.045,-0.014,1.961,2.040,2.118,-0.048,-0.007,0.014,-14081,-7346,4010,1338,1168,1,310,228,1
15503,-6.847,-6.455,2.377,-0.172,0.051,-0.014,1.961,2.040,2.118,-0.058,-0.006,0.011,-14045,-7397,4062,311,36,1,0,0,1
18538,-6.828,-6.452,2.282,-0.185,0.046,-0.014,1.961,2.040,2.118,-0.055,-0.004,0.012,-14001,-7455,4032,1019,641,1,137,23,1
21573,-6.886,-6.498,2.301,-0.183,0.052,-0.015,1.961,2.040,2.118,-0.060,-0.004,0.013,-14040,-7405,4041,1439,1227,1,371,251,1
24608,-6.852,-6.412,2.344,-0.183,0.048,-0.016,1.961,2.040,2.118,-0.057,-0.005,0.013,-14050,-7407,4021,627,427,1,0,0,1
27643,-6.876,-6.424,2.349,-0.187,0.045,-0.016,1.961,2.040,2.118,-0.056,-0.004,0.014,-14039,-7390,4019,419,20,1,0,0,1
30678,-6.800,-6.462,2.370,-0.180,0.048,-0.015,1.961,2.040,2.118,-0.055,-0.006,0.015,-14049,-7403,4078,1256,957,1,296,164,1
33713,-6.876,-6.450,2.444,-0.181,0.048,-0.014,1.961,2.040,2.118,-0.053,-0.006,0.014,-14062,-7420,4028,1245,1041,1,225,159,1
36748,-6.898,-6.438,2.303,-0.185,0.048,-0.017,1.961,2.040,2.118,-0.045,-0.006,0.014,-14042,-7350,4074,326,59,1,0,0,1
39783,-6.864,-6.469,2.298,-0.187,0.050,-0.016,1.961,2.040,2.118,-0.048,-0.004,0.013,-14026,-7390,4030,624,277,1,0,0,1
42818,-6.893,-6.426,2.303,-0.179,0.048,-0.017,1.961,2.040,2.118,-0.044,-0.004,0.015,-14036,-7383,4011,1318,1066,1,320,183,1
45853,-6.833,-6.452,2.373,-0.182,0.046,-0.012,1.961,2.040,2.118,-0.042,-0.007,0.014,-14091,-7334,4114,1263,1070,1,249,176,1
48888,-6.852,-6.426,2.409,-0.185,0.048,-0.013,1.961,2.040,2.118,-0.045,-0.005,0.015,-14036,-7409,4055,448,223,1,0,0,1
51923,-6.859,-6.481,2.358,-0.183,0.048,-0.016,1.961,2.040,2.118,-0.047,-0.004,0.013,-14036,-7400,4016,364,0,1,0,0,1
54958,-6.809,-6.488,2.342,-0.179,0.050,-0.016,1.961,2.040,2.118,-0.043,-0.005,0.014,-14005,-7394,4073,1079,752,1,194,72,1
57993,-6.821,-6.483,2.392,-0.180,0.047,-0.015,1.961,2.040,2.118,-0.044,-0.004,0.013,-14057,-7379,4023,1459,1222,1,347,221,1
61028,-6.869,-6.469,2.310,-0.180,0.048,-0.017,1.961,2.040,2.118,-0.046,-0.006,0.013,-14030,-7408,4011,703,511,1,8,13,1
64063,-6.800,-6.414,2.404,-0.181,0.049,-0.015,1.961,2.040,2.118,-0.047,-0.006,0.011,-13990,-7487,4034,336,0,1,0,0,1
67098,-6.867,-6.505,2.358,-0.180,0.044,-0.019,1.961,2.040,2.118,-0.046,-0.005,0.014,-13986,-7436,4046,1060,733,1,189,76,1
70133,-6.891,-6.414,2.370,-0.187,0.048,-0.014,1.961,2.040,2.118,-0.055,-0.008,0.009,-13993,-7416,4093,1394,1200,1,334,223,1
73168,-6.953,-6.366,2.397,-0.182,0.047,-0.015,1.961,2.040,2.118,-0.046,-0.006,0.013,-13966,-7466,4040,574,336,1,0,0,1
76203,-6.816,-6.426,2.363,-0.186,0.049,-0.014,1.961,2.040,2.118,-0.045,-0.006,0.011,-14026,-7387,4036,432,48,1,0,0,1
79238,-6.756,-6.407,2.339,-0.186,0.052,-0.015,1.961,2.040,2.118,-0.049,-0.005,0.010,-14014,-7405,3999,1156,866,1,245,115,1
82273,-6.778,-6.483,2.344,-0.178,0.047,-0.015,1.961,2.040,2.118,-0.044,-0.005,0.013,-13947,-7548,4112,1333,1146,1,295,194,1
85308,-6.900,-6.436,2.430,-0.178,0.048,-0.019,1.961,2.040,2.118,-0.045,-0.005,0.014,-14070,-7359,4022,539,307,1,0,0,1
88343,-6.833,-6.491,2.241,-0.183,0.048,-0.013,1.961,2.040,2.118,-0.041,-0.005,0.013,-14068,-7345,4048,482,95,1,0,0,1
91378,-6.749,-6.519,2.294,-0.183,0.045,-0.014,1.961,2.040,2.118,-0.045,-0.005,0.012,-14039,-7403,4042,1214,912,1,257,129,1
94413,-6.809,-6.507,2.330,-0.180,0.048,-0.017,1.961,2.040,2.118,-0.044,-0.004,0.012,-13995,-7422,4033,1296,1111,1,267,185,1
97448,-6.814,-6.529,2.375,-0.181,0.043,-0.014,1.961,2.040,2.118,-0.044,-0.005,0.014,-14047,-7353,4019,377,130,1,0,0,1
100483,-6.807,-6.460,2.399,-0.180,0.049,-0.016,1.961,2.040,2.118,-0.048,-0.004,0.014,-14018,-7400,4059,630,253,1,0,0,1
103518,-6.826,-6.455,2.397,-0.183,0.045,-0.019,1.961,2.040,2.118,-0.047,-0.005,0.012,-14033,-7425,4037,1321,1063,1,320,186,1
106553,-6.828,-6.472,2.370,-0.182,0.048,-0.019,1.961,2.040,2.118,-0.051,-0.002,0.012,-14004,-7422,3922,1234,1046,1,235,167,1
109588,-6.819,-6.452,2.411,-0.187,0.048,-0.012,1.961,2.040,2.118,-0.046,-0.006,0.014,-14042,-7401,4047,428,182,1,0,0,1
112623,-6.814,-6.409,2.377,-0.183,0.046,-0.014,1.961,2.040,2.118,-0.042,-0.002,0.013,-14088,-7368,4054,542,159,1,0,0,1
115658,-6.790,-6.481,2.413,-0.183,0.051,-0.013,1.961,2.040,2.118,-0.046,-0.006,0.013,-14010,-7445,4048,1287,1008,1,302,162,1
118693,-6.859,-6.395,2.294,-0.185,0.045,-0.016,1.961,2.040,2.118,-0.042,-0.005,0.012,-14015,-7358,4098,1236,1046,1,226,160,1
